"replication","statistic"
1,9.62218019999273
2,9.00593338003819
3,13.3790663192522
4,12.0014199409961
5,27.2139671929035
6,14.9598016009295
7,10.6774664449877
8,8.30557198064344
9,5.25108884326255
10,9.23401024691702
11,6.57035727505718
12,18.0238653898377
13,7.40075922671167
14,15.8429652425184
15,10.9340384919233
16,12.1183775651771
17,9.97802086776937
18,21.8598888001652
19,7.10248816474996
20,10.3488509284762
21,15.8818727311118
22,14.7241433512754
23,14.3362742552636
24,4.31772171635384
25,12.877218774418
26,11.5555054060642
27,5.60318593514967
28,22.4486656391091
29,8.47836472490599
30,13.0564165306969
31,7.0612735218383
32,28.7545143511015
33,20.4397113381492
34,24.6735173935194
35,14.612683828127
36,10.9853952901503
37,16.1039310171727
38,15.2076254159001
39,19.441404787638
40,4.57620415713973
41,13.177082956212
42,12.6251844742073
43,22.7682496931302
44,13.3006213784865
45,15.0895287513194
46,6.95094630789754
47,8.82546619589993
48,16.0916536567274
49,6.74764434959434
50,14.441967917719
51,9.89795459010929
52,6.62134022954706
53,10.8731517200358
54,12.0989100346087
55,10.1450238746584
56,7.10275304718016
57,11.6874946247262
58,15.8727450478218
59,10.4364307764226
60,10.1997645346019
61,17.4078178949967
62,10.1401153439365
63,14.8502469001069
64,10.3976286501238
65,14.3995842935547
66,6.70090276238261
67,17.7438900222296
68,4.86423050377198
69,21.94679359355
70,16.5564536812635
71,16.0471527779628
72,16.9875740785465
73,10.2848930571054
74,16.9881564509305
75,21.0539793616917
76,7.77972000715818
77,13.2083223297341
78,10.3645514307682
79,10.710699929441
80,10.0771575176877
81,9.8089628839698
82,10.6560090792955
83,13.3409617246143
84,10.0436937434097
85,10.044957309241
86,15.5173426929687
87,7.19947743021476
88,13.7415819352682
89,8.04067906870114
90,12.1547739576345
91,5.15232196310899
92,12.6329316263946
93,14.9238820256214
94,12.4321347863006
95,15.041002116559
96,23.9193651244095
97,15.1422272636373
98,13.2201015599348
99,6.58109219151083
100,15.518043800068
101,15.0942680100634
102,8.72065910696256
103,8.30734067019512
104,12.005008264794
105,14.8546157344281
106,13.5108475930138
107,6.51017327300724
108,13.9468505129917
109,6.88607162454718
110,22.5284651449401
111,13.9570401595374
112,11.3686045442701
113,10.3729067578024
114,9.3781721156447
115,14.0733346451343
116,6.17669569652571
117,16.0595803083452
118,16.1876144144626
119,13.0911521177622
120,10.1362678387195
121,10.3057015858285
122,9.24967774746619
123,9.16286731444779
124,11.4195271562421
125,9.92993970873431
126,6.31129572288773
127,13.3900356025915
128,5.57271788574144
129,17.4537164340763
130,6.19177273838432
131,8.57423047188786
132,9.84965528954126
133,15.7821198752245
134,18.1950702960021
135,9.08451140933175
136,8.11198995891755
137,11.425362901984
138,8.11335908385081
139,6.83061215680937
140,15.9712915529381
141,10.0018785467
142,15.9524740282541
143,8.25234902998272
144,17.0640483107745
145,4.03531738963648
146,19.7056065875004
147,13.9086397469036
148,4.38318278400402
149,19.4487698355042
150,14.3246354333787
151,14.7051042902276
152,10.2589667547727
153,7.96500312936041
154,8.3884249364819
155,5.37197308727991
156,9.60542780981632
157,11.8466004341826
158,11.8797631957787
159,13.04672962927
160,6.56852230450022
161,6.77963015385467
162,7.5008485766084
163,11.6953738444536
164,8.8234505376422
165,19.1759849442788
166,16.994152476731
167,14.5068087716063
168,11.5940174711941
169,13.0845173927082
170,10.8949060385748
171,17.906245629154
172,12.399395388733
173,14.6019221693386
174,17.570076048898
175,8.86331715962297
176,13.3509202409623
177,29.5985024878028
178,9.27885663328198
179,9.19549885361994
180,13.2310041970231
181,8.85644270115154
182,5.20815052165926
183,7.92087772061495
184,19.6065369993375
185,10.6815704483924
186,15.6278575140204
187,11.1872785951782
188,17.3927012524837
189,6.96878385290984
190,11.7476284915683
191,11.9793089696432
192,15.7247935968444
193,8.95765651021429
194,16.4179191098847
195,11.6968068143688
196,12.1640939871759
197,9.63776032289388
198,14.5646333858822
199,12.2157975737828
