"ID","family","scenario","model","BIC","log_likelihood","n_parameters","convergence","agreement","decoded_runs","bounds"
"elk-287","gamma","rho_090","M21",2296.55300675676,-1107.57573269652,16,0,1,2,1
"elk-287","gamma","rho_090","H2",2319.77205928582,-1131.90424979913,11,0,NA,NA,1
"elk-287","gamma","rho_090","H3",2307.7861308858,-1103.01710209058,20,0,NA,NA,2
"elk-363","gamma","rho_090","M21",3107.6074187007,-1510.76453052203,16,0,1,2,1
"elk-363","gamma","rho_090","H2",3129.35254628911,-1535.08683770008,11,0,NA,NA,1
"elk-363","gamma","rho_090","H3",3120.38759862378,-1506.39482577648,20,0,NA,NA,2
"elk-115","weibull","rho_098","M21",2866.45328051404,-1391.12511874578,16,0,1,15,1
"elk-115","weibull","rho_098","H2",2881.01263647896,-1411.5615222005,11,0,NA,NA,1
"elk-115","weibull","rho_098","H3",2860.97132450802,-1377.85876036496,20,0,NA,NA,1
"elk-163","weibull","rho_098","M21",2264.79227230123,-1091.8953758864,16,0,1,10,1
"elk-163","weibull","rho_098","H2",2254.31444734758,-1099.31295099214,11,0,NA,NA,1
"elk-163","weibull","rho_098","H3",2276.13126273131,-1087.43968103539,20,0,NA,NA,2
"elk-287","weibull","rho_098","M21",2293.19913941435,-1105.89879902532,16,0,1,2,1
"elk-287","weibull","rho_098","H2",2319.80637263411,-1131.92140647328,11,0,NA,NA,1
"elk-287","weibull","rho_098","H3",2304.23497743635,-1101.24152536585,20,0,NA,NA,1
"elk-363","weibull","rho_098","M21",3109.92866877747,-1511.92515556041,16,0,1,2,1
"elk-363","weibull","rho_098","H2",3129.50830402114,-1535.1647165661,11,0,NA,NA,1
"elk-363","weibull","rho_098","H3",3122.21197979623,-1507.30701636271,20,0,NA,NA,1
"elk-115","gamma","rho_098","M21",2865.45462160211,-1390.62578928982,16,0,1,15,1
"elk-115","gamma","rho_098","H2",2891.82454834782,-1416.96747813493,11,0,NA,NA,1
"elk-115","gamma","rho_098","H3",2862.22867907946,-1378.48743765068,20,0,NA,NA,2
"elk-163","gamma","rho_098","M21",2264.27302686714,-1091.63575316936,16,0,1,8,1
"elk-163","gamma","rho_098","H2",2256.22598039276,-1100.26871751473,11,0,NA,NA,1
"elk-163","gamma","rho_098","H3",2275.61525167077,-1087.18167550512,20,0,NA,NA,1
"elk-287","gamma","rho_098","M21",2296.55300675676,-1107.57573269652,16,0,1,2,1
"elk-287","gamma","rho_098","H2",2319.77205928582,-1131.90424979913,11,0,NA,NA,1
"elk-287","gamma","rho_098","H3",2307.7861308858,-1103.01710209058,20,0,NA,NA,2
"elk-363","gamma","rho_098","M21",3107.6074187007,-1510.76453052203,16,0,1,2,1
"elk-363","gamma","rho_098","H2",3129.35254628911,-1535.08683770008,11,0,NA,NA,1
"elk-363","gamma","rho_098","H3",3120.38759862377,-1506.39482577648,20,0,NA,NA,2
