"ID","family","model","joint","n","n_parameters","log_likelihood","BIC","convergence","parameters_at_bounds"
"elk-115","truncated_normal","H3",TRUE,193,20,-1378.64445339438,2862.54271056686,0,1
"elk-115","truncated_normal","H4",TRUE,193,31,-1361.64853927159,2886.44047439923,0,5
"elk-163","truncated_normal","M21",TRUE,158,16,-1095.03105684282,2271.06363421408,0,2
"elk-163","truncated_normal","M22",TRUE,158,21,-1091.26608293803,2288.84666156963,0,2
"elk-163","truncated_normal","H2",TRUE,158,11,-1104.47571150222,2264.63996836775,0,2
"elk-163","truncated_normal","H3",TRUE,158,20,-1089.96914502214,2281.19019070482,0,2
"elk-163","truncated_normal","H4",TRUE,158,31,-1079.66408997055,2316.26862596493,0,7
"elk-287","truncated_normal","M21",TRUE,163,16,-1106.9720093739,2295.34556011153,0,2
"elk-287","truncated_normal","M22",TRUE,163,21,-1100.74693071708,2308.33338447405,0,1
"elk-287","truncated_normal","H2",TRUE,163,11,-1133.10675116349,2322.17706201454,0,1
"elk-287","truncated_normal","H3",TRUE,163,20,-1102.3178747491,2306.38767620285,0,1
"elk-287","truncated_normal","H4",TRUE,163,31,-1088.94466208134,2335.60481055489,0,3
"elk-363","truncated_normal","M21",TRUE,217,16,-1515.54355254776,3117.16546275216,0,1
"elk-363","truncated_normal","M22",TRUE,217,21,-1508.60719519831,3130.19223482097,0,1
"elk-363","truncated_normal","H2",TRUE,217,11,-1534.08327963885,3127.34543016664,0,2
"elk-363","truncated_normal","H3",TRUE,217,20,-1509.39453355748,3126.38701418578,0,3
"elk-363","truncated_normal","H4",TRUE,217,31,-1484.02371298108,3134.82424392191,0,4
