"ID","family","joint","model","state","occupation","self_transition","observed_run_count","weighted_cos_turn","weighted_distance_open_forest"
"elk-115","gamma",FALSE,"M21",1,0.212137929792916,0.78970096094767,8,-0.0161644610122187,1174.25236898079
"elk-115","gamma",FALSE,"M21",2,0.787862070207084,0.944809606921046,7,-0.292931375094522,685.879509780689
"elk-115","gamma",FALSE,"H2",1,0.0680738492154616,0.912491867833411,2,-0.159714614158253,437.339847429713
"elk-115","gamma",FALSE,"H2",2,0.931926150784538,0.988556312042879,2,-0.240910412166121,815.204627136005
"elk-115","gamma",FALSE,"H3",1,0.0705442702514995,0.91838310075926,2,-0.169178677150731,457.677872697212
"elk-115","gamma",FALSE,"H3",2,0.534570510953266,0.966155627990601,3,-0.338143036301662,744.40312662581
"elk-115","gamma",FALSE,"H3",3,0.394885218795234,0.954174898737936,3,-0.106334532912147,909.781852304492
"elk-163","gamma",FALSE,"M21",1,0.70339675022929,0.962734606375608,3,-0.191581748093669,13848.4258668989
"elk-163","gamma",FALSE,"M21",2,0.29660324977071,0.915377693420377,2,-0.354648751422227,19375.536817562
"elk-163","gamma",FALSE,"H2",1,0.486061942423935,0.906525391941476,5,-0.309824198656421,19524.700117963
"elk-163","gamma",FALSE,"H2",2,0.513938057576065,0.902337694424048,5,-0.173640866251919,11669.8329374825
"elk-163","gamma",FALSE,"H3",1,0.352805604733265,0.870791507656856,7,-0.332126479331725,17686.7340749274
"elk-163","gamma",FALSE,"H3",2,0.482657478823781,0.824157247340133,13,-0.178098133913333,16014.9158167672
"elk-163","gamma",FALSE,"H3",3,0.164536916442953,0.350191867359741,17,-0.225013736633172,9226.42265803009
"elk-287","gamma",FALSE,"M21",1,0.55872356323343,0.989015326413953,1,0.188112564915758,9866.43707832577
"elk-287","gamma",FALSE,"M21",2,0.44127643676657,0.999993855825398,1,-0.320395841537031,39915.9525314651
"elk-287","gamma",FALSE,"H2",1,0.723985649996583,0.93531284351256,7,-0.197251713248746,28524.7117884345
"elk-287","gamma",FALSE,"H2",2,0.276014350003417,0.832152453377039,6,0.377382570517199,8967.28079139166
"elk-287","gamma",FALSE,"H3",1,0.319566345001055,0.728388567397927,14,-0.0312626344509868,11697.6662197651
"elk-287","gamma",FALSE,"H3",2,0.439271667880945,0.999993263938537,1,-0.318933909382566,39913.5646816759
"elk-287","gamma",FALSE,"H3",3,0.241161987118,0.665517444387974,13,0.466339269912177,7694.00533863903
"elk-363","gamma",FALSE,"M21",1,0.949381124576189,0.995145956591018,1,-0.126313581914752,9070.42606374545
"elk-363","gamma",FALSE,"M21",2,0.050618875423811,0.999993855825398,1,-0.129681191031162,41241.7591405264
"elk-363","gamma",FALSE,"H2",1,0.573838430157797,0.77853285956686,16,-0.226749744470943,9397.95857082995
"elk-363","gamma",FALSE,"H2",2,0.426161569842203,0.70773392997984,16,0.0102626361078869,12450.6603773976
"elk-363","gamma",FALSE,"H3",1,0.0506313814135889,0.999993234712912,1,-0.129569613662398,41241.7585503005
"elk-363","gamma",FALSE,"H3",2,0.662934679489257,0.780343096398182,27,-0.20866486011977,9736.98649923814
"elk-363","gamma",FALSE,"H3",3,0.286433939097154,0.507702331464924,26,0.0629428534103508,7526.30620652354
"elk-115","gamma",TRUE,"M21",1,0.216313414353329,0.80004742707093,8,0.0215692766142461,1161.18197419441
"elk-115","gamma",TRUE,"M21",2,0.783686585646671,0.946209814189766,7,-0.304571791277189,686.88515209269
"elk-115","gamma",TRUE,"H2",1,0.0680537506453091,0.913228516470837,2,-0.156284697532105,436.808753564728
"elk-115","gamma",TRUE,"H2",2,0.931946249354691,0.988616003378371,2,-0.241160515262188,815.235260219935
"elk-115","gamma",TRUE,"H3",1,0.0711165430260833,0.897507676747456,2,-0.156480624945372,444.790717646374
"elk-115","gamma",TRUE,"H3",2,0.829900416835001,0.951278009950641,7,-0.28784396064806,676.55723112148
"elk-115","gamma",TRUE,"H3",3,0.0989830401389154,0.591497327854519,7,0.169243454522713,1983.92381657804
"elk-163","gamma",TRUE,"M21",1,0.600672387054724,0.936394726026025,4,-0.139833025266558,12390.502553595
"elk-163","gamma",TRUE,"M21",2,0.399327612945276,0.909163097270186,4,-0.389721585805971,20146.7465064476
"elk-163","gamma",TRUE,"H2",1,0.522109179856891,0.9153775216478,5,-0.156314858442881,11520.0529633856
"elk-163","gamma",TRUE,"H2",2,0.477890820143109,0.917665330651455,5,-0.330852391055633,19822.6438608945
"elk-163","gamma",TRUE,"H3",1,0.489192132931484,0.790128824934275,18,-0.144507288523625,15506.4229827146
"elk-163","gamma",TRUE,"H3",2,0.177769760608914,0.342004859885522,19,-0.256922715226219,9601.61828447259
"elk-163","gamma",TRUE,"H3",3,0.333038106459602,0.887965319847918,4,-0.372319506242294,18602.3379895704
"elk-287","gamma",TRUE,"M21",1,0.566021290266374,0.989160726152476,1,0.188084289722042,10258.4697139351
"elk-287","gamma",TRUE,"M21",2,0.433978709733626,0.999993855825398,1,-0.328910371348021,39909.9484189904
"elk-287","gamma",TRUE,"H2",1,0.792789907107471,0.911422852668667,12,-0.209510018763655,27066.1405522134
"elk-287","gamma",TRUE,"H2",2,0.207210092892529,0.663734898647575,11,0.614727901657168,8053.74442241874
"elk-287","gamma",TRUE,"H3",1,0.331209502108554,0.714190203542271,15,-0.0564808898668626,12071.0788082281
"elk-287","gamma",TRUE,"H3",2,0.432044603109719,0.999993233061609,1,-0.326989566302574,39907.5679599057
"elk-287","gamma",TRUE,"H3",3,0.236745894781726,0.626059256978316,14,0.516167051167566,7969.19762216199
"elk-363","gamma",TRUE,"M21",1,0.949363622267173,0.995145890868771,1,-0.126321391540543,9069.8327474829
"elk-363","gamma",TRUE,"M21",2,0.0506363777328273,0.999993855825398,1,-0.129501636115601,41241.7630954538
"elk-363","gamma",TRUE,"H2",1,0.729051314486028,0.844118947527794,18,-0.293767073355797,11689.9062421814
"elk-363","gamma",TRUE,"H2",2,0.270948685513971,0.583643038062266,17,0.316779465452838,8032.37428064189
"elk-363","gamma",TRUE,"H3",1,0.331005756111687,0.582133008919707,22,0.254469294171705,8009.46902241089
"elk-363","gamma",TRUE,"H3",2,0.0506722040576711,0.999981676259431,1,-0.129197582138316,41241.758058069
"elk-363","gamma",TRUE,"H3",3,0.618322039830642,0.7688504293079,23,-0.3317207270829,9635.61259562575
"elk-115","weibull",FALSE,"M21",1,0.213365824826867,0.793326347053988,8,-0.0147534185222882,1172.16758480162
"elk-115","weibull",FALSE,"M21",2,0.786634175173133,0.945371999959296,7,-0.293736829342429,685.682659812253
"elk-115","weibull",FALSE,"H2",1,0.0670716738636496,0.912626189355506,2,-0.154628654589139,429.762224032725
"elk-115","weibull",FALSE,"H2",2,0.93292832613635,0.988672109411457,2,-0.24119039302292,815.343498593732
"elk-115","weibull",FALSE,"H3",1,0.0703344393379957,0.919229887417016,2,-0.169167324177117,456.041374083369
"elk-115","weibull",FALSE,"H3",2,0.521453836526475,0.966803308986629,3,-0.340220693651142,743.737208272915
"elk-115","weibull",FALSE,"H3",3,0.40821172413553,0.957585848885816,3,-0.111225329075642,905.368122139623
"elk-163","weibull",FALSE,"M21",1,0.710862929180309,0.964648898520885,3,-0.19346301255841,13943.8919050684
"elk-163","weibull",FALSE,"M21",2,0.289137070819691,0.917031376828329,2,-0.35427547862574,19283.5497609899
"elk-163","weibull",FALSE,"H2",1,0.452644789936828,0.917786657830694,5,-0.32188075370753,19965.9124639856
"elk-163","weibull",FALSE,"H2",2,0.547355210063172,0.923604564192528,5,-0.171965387657123,11784.5204813279
"elk-163","weibull",FALSE,"H3",1,0.348114196812348,0.867272926049316,8,-0.326830905362691,17218.9133320181
"elk-163","weibull",FALSE,"H3",2,0.506891821369078,0.865921622049517,9,-0.187263336482674,16244.4591791456
"elk-163","weibull",FALSE,"H3",3,0.144993981818573,0.377748680968585,13,-0.21662788176817,8686.24501432853
"elk-287","weibull",FALSE,"M21",1,0.559491845003181,0.989034406283278,1,0.187533466314305,9908.31750385152
"elk-287","weibull",FALSE,"M21",2,0.440508154996819,0.999993855825398,1,-0.320555270023725,39915.1687511185
"elk-287","weibull",FALSE,"H2",1,0.268151149992688,0.817720952314864,6,0.383981427174501,8999.50534177053
"elk-287","weibull",FALSE,"H2",2,0.731848850007312,0.932526292259284,7,-0.19346375593033,28302.773826974
"elk-287","weibull",FALSE,"H3",1,0.323227628109244,0.7253377977239,15,-0.0340851528781307,11697.466652951
"elk-287","weibull",FALSE,"H3",2,0.438940159489332,0.999993189487091,1,-0.31914107240474,39913.1758433314
"elk-287","weibull",FALSE,"H3",3,0.237832212401424,0.652508128659338,14,0.477050074530578,7678.27029859547
"elk-363","weibull",FALSE,"M21",1,0.949407312312793,0.995145953288024,1,-0.126304329154207,9071.31344675225
"elk-363","weibull",FALSE,"M21",2,0.0505926876872074,0.999993855825398,1,-0.129894603836835,41241.7592686344
"elk-363","weibull",FALSE,"H2",1,0.223633074496774,0.464282056703677,22,0.118045019536598,7611.53336299062
"elk-363","weibull",FALSE,"H2",2,0.776366925503226,0.844744569979871,23,-0.198139126328221,11588.2218340833
"elk-363","weibull",FALSE,"H3",1,0.0505830319115622,0.999993328667186,1,-0.129968567415862,41241.7596521958
"elk-363","weibull",FALSE,"H3",2,0.685765239606537,0.7899331306355,26,-0.205115116584465,9740.39920923066
"elk-363","weibull",FALSE,"H3",3,0.2636517284819,0.471085416574559,25,0.0773186980232531,7332.18148786864
"elk-115","weibull",TRUE,"M21",1,0.21917326596005,0.805615173039,8,0.0300440534033114,1159.9788676254
"elk-115","weibull",TRUE,"M21",2,0.78082673403995,0.946829842371865,7,-0.308088895205438,685.485699838963
"elk-115","weibull",TRUE,"H2",1,0.0670325085496687,0.91332571339744,2,-0.150290212807319,429.169976136377
"elk-115","weibull",TRUE,"H2",2,0.932967491450331,0.988730703984493,2,-0.241500191158981,815.369864411102
"elk-115","weibull",TRUE,"H3",1,0.413664102615162,0.957699414750559,3,-0.0983011362040532,909.01987222119
"elk-115","weibull",TRUE,"H3",2,0.0699716384989476,0.91867359001542,2,-0.163683336646736,453.083670382372
"elk-115","weibull",TRUE,"H3",3,0.51636425888589,0.96611716996718,3,-0.353485640795071,739.303726068515
"elk-163","weibull",TRUE,"M21",1,0.535070853779103,0.92245570718539,5,-0.143643606413414,11527.6141371251
"elk-163","weibull",TRUE,"M21",2,0.464929146220897,0.920616334555201,5,-0.350128701224533,20045.4083682964
"elk-163","weibull",TRUE,"H2",1,0.449780229785866,0.923242247601628,5,-0.339880418159159,20245.2813476194
"elk-163","weibull",TRUE,"H2",2,0.550219770214134,0.928733558850898,5,-0.157869812488006,11598.7428761664
"elk-163","weibull",TRUE,"H3",1,0.50533790942935,0.855059942268332,10,-0.164652881889067,15925.3361677618
"elk-163","weibull",TRUE,"H3",2,0.148770511531737,0.371848662849398,13,-0.238122514935642,8992.24232829039
"elk-163","weibull",TRUE,"H3",3,0.345891579038912,0.868953875756579,7,-0.351588672096983,17642.315481317
"elk-287","weibull",TRUE,"M21",1,0.566157130939294,0.989164167690407,1,0.187760852434727,10265.8000721336
"elk-287","weibull",TRUE,"M21",2,0.433842869060706,0.999993855825398,1,-0.32865474156787,39909.6666170875
"elk-287","weibull",TRUE,"H2",1,0.204544856493926,0.656711320421181,11,0.620140154781338,7996.91332214991
"elk-287","weibull",TRUE,"H2",2,0.795455143506074,0.911037756766832,12,-0.208129412271672,27017.0516485088
"elk-287","weibull",TRUE,"H3",1,0.330084749866075,0.713103803428643,15,-0.056021025617916,12022.0522940418
"elk-287","weibull",TRUE,"H3",2,0.433159738392196,0.99999343082768,1,-0.32586440451888,39908.4164287844
"elk-287","weibull",TRUE,"H3",3,0.236755511741729,0.625914696616145,14,0.514729662470573,7905.05287917437
"elk-363","weibull",TRUE,"M21",1,0.949370010747518,0.995146309861744,1,-0.126320206342623,9070.04923604957
"elk-363","weibull",TRUE,"M21",2,0.0506299892524823,0.999993855825398,1,-0.129529164562035,41241.7631347945
"elk-363","weibull",TRUE,"H2",1,0.774627351856939,0.875108462241386,16,-0.271573903220323,11705.6489664811
"elk-363","weibull",TRUE,"H2",2,0.225372648143061,0.5734558776804,15,0.363796326240482,7238.6197604122
"elk-363","weibull",TRUE,"H3",1,0.050654376926524,0.999983561771143,1,-0.129321960821247,41241.7589299588
"elk-363","weibull",TRUE,"H3",2,0.348714644820298,0.605112740820387,24,0.237693646234167,7779.10962157292
"elk-363","weibull",TRUE,"H3",3,0.600630978253179,0.763063636721406,25,-0.339307846522781,9818.23769974659
"elk-115","lognormal",FALSE,"M21",1,0.915905961214121,0.98104528467307,3,-0.240319146450183,821.710273635074
"elk-115","lognormal",FALSE,"M21",2,0.0840940387858787,0.845573603632938,3,-0.181585989869523,438.46840534179
"elk-115","lognormal",FALSE,"H2",1,0.913322278960711,0.979264844962388,3,-0.240331618473817,821.744879066251
"elk-115","lognormal",FALSE,"H2",2,0.0866777210392887,0.831153693125992,3,-0.183206030838477,449.52740979082
"elk-115","lognormal",FALSE,"H3",1,0.105879758133477,0.712448596466525,6,-0.125626788349396,466.812105875801
"elk-115","lognormal",FALSE,"H3",2,0.0858683838272392,0.621794455323186,6,0.128496830201891,2121.99685404161
"elk-115","lognormal",FALSE,"H3",3,0.808251858039284,0.943266416506041,8,-0.286051376541323,690.185266316312
"elk-163","lognormal",FALSE,"M21",1,0.717778523883588,0.972401973101761,3,-0.190987171431671,13737.3777686359
"elk-163","lognormal",FALSE,"M21",2,0.282221476116412,0.932255676499186,2,-0.364457374018262,19939.6242884965
"elk-163","lognormal",FALSE,"H2",1,0.295493992031192,0.926742734696436,2,-0.360238966861972,19861.9460665486
"elk-163","lognormal",FALSE,"H2",2,0.704506007968807,0.968114246984754,3,-0.18947484402161,13653.1116771144
"elk-163","lognormal",FALSE,"H3",1,0.293768238739875,0.925859023758304,3,-0.359847467533405,18760.1558710803
"elk-163","lognormal",FALSE,"H3",2,0.597058745841039,0.887887848830801,10,-0.193670444087588,15167.2561666126
"elk-163","lognormal",FALSE,"H3",3,0.109173015419086,0.335354896121355,10,-0.169101124878744,8435.27166263126
"elk-287","lognormal",FALSE,"M21",1,0.5955406607151,0.98969699639552,1,0.173261230675606,11744.899146695
"elk-287","lognormal",FALSE,"M21",2,0.4044593392849,0.999993855825398,1,-0.345041934927597,39885.3818401527
"elk-287","lognormal",FALSE,"H2",1,0.137871351340098,0.520011152807192,12,0.601465459246714,8150.48259068891
"elk-287","lognormal",FALSE,"H2",2,0.862128648659902,0.922690209977653,13,-0.140607485276698,25521.5531572907
"elk-287","lognormal",FALSE,"H3",1,0.413238609553339,0.772328357775895,15,-0.0135696276457389,13873.5882964767
"elk-287","lognormal",FALSE,"H3",2,0.399299807632808,0.99999354654149,1,-0.342293516478693,39884.2574200492
"elk-287","lognormal",FALSE,"H3",3,0.187461582813853,0.530845134606228,14,0.558876144998448,7829.34566893065
"elk-363","lognormal",FALSE,"M21",1,0.949335746871285,0.995145718090189,1,-0.126330306980947,9068.88837392993
"elk-363","lognormal",FALSE,"M21",2,0.0506642531287146,0.999993855825398,1,-0.129296285290339,41241.757613824
"elk-363","lognormal",FALSE,"H2",1,0.0506671980974014,0.999993855825398,1,-0.12926920770328,41241.7585191054
"elk-363","lognormal",FALSE,"H2",2,0.949332801902599,0.995145711616443,1,-0.126331485787817,9068.78852068526
"elk-363","lognormal",FALSE,"H3",1,0.0553802789802254,0.906265560488423,2,-0.025011728577238,40455.2647436093
"elk-363","lognormal",FALSE,"H3",2,0.873755520505909,0.959814372440117,5,-0.182474865918251,9171.60325662573
"elk-363","lognormal",FALSE,"H3",3,0.0708642005138655,0.574736917984352,4,0.494543270858834,6275.94662277012
"elk-115","lognormal",TRUE,"M21",1,0.916932238025197,0.981956548968326,3,-0.239295746007452,821.191189747666
"elk-115","lognormal",TRUE,"M21",2,0.0830677619748033,0.85398994867713,3,-0.192093192278647,439.463406364761
"elk-115","lognormal",TRUE,"H2",1,0.0867828067315646,0.838417682303996,3,-0.17318875126305,441.825679524378
"elk-115","lognormal",TRUE,"H2",2,0.913217193268435,0.979893493982754,3,-0.241295601033576,822.519604405265
"elk-115","lognormal",TRUE,"H3",1,0.0933000559958364,0.617113776474879,7,0.177614313367676,2056.93798818504
"elk-115","lognormal",TRUE,"H3",2,0.129893309812794,0.62578189862285,10,-0.0157122225249503,496.518244273369
"elk-115","lognormal",TRUE,"H3",3,0.77680663419137,0.933246255135489,10,-0.318927628796849,686.239105108347
"elk-163","lognormal",TRUE,"M21",1,0.309783642798758,0.937312167864995,2,-0.368218887651208,20642.3825946047
"elk-163","lognormal",TRUE,"M21",2,0.690216357201242,0.971302704342825,3,-0.182292068412525,13174.2929092237
"elk-163","lognormal",TRUE,"H2",1,0.695685566966719,0.966842925367816,3,-0.180180861279422,13295.6460805224
"elk-163","lognormal",TRUE,"H2",2,0.304314433033281,0.927006844481459,2,-0.376342876420834,20499.178408372
"elk-163","lognormal",TRUE,"H3",1,0.275566076287991,0.939130089012472,2,-0.37260762395421,19344.4408732131
"elk-163","lognormal",TRUE,"H3",2,0.674513037683136,0.949221672372115,6,-0.214005508753165,14355.6834064159
"elk-163","lognormal",TRUE,"H3",3,0.0499208860288734,0.320340189107513,5,0.138972955482573,9495.37723628069
