model,states,components,parameters,log_likelihood,BIC,runs,converged,relative_gain,floor_hits,minimum_transition
G2,2,2,7,7410.53101831949,-14751.4978283505,14,TRUE,3.7877734164338e-10,0,0.000540223020174608
M21,2,3,10,10436.2253835685,-20773.073326725,78,TRUE,6.96202162672448e-09,0,0.00355651977462623
M221,3,5,20,12508.2946893801,-24817.834497936,181,TRUE,5.35856742333408e-09,0,0.00121118386838594
G3,3,3,14,10438.6808801633,-20738.2333437496,4009,TRUE,6.95344629356806e-09,0,0.00142023356031123
G5,5,5,34,12517.4232646232,-24696.9632318451,9123,TRUE,8.16218677326265e-09,0,1.29403623393686e-07
G4,4,4,23,11321.8458172487,-22415.1235215496,3497,TRUE,4.45293209554238e-09,0,2.59936564882661e-14
