"ID","model","state","mean_log1p_step","median_step_km","sd_log1p_step","posterior_occupation","self_transition"
"elk-115","Gaussian K=2",1,0.371883551134796,0.450464066563815,0.265020011453969,0.788263477937917,0.888129483608749
"elk-115","Gaussian K=2",2,1.36033490200107,2.89749836325018,0.668723885778037,0.211736522062083,0.561974986286499
"elk-115","Gaussian K=3",1,0.0273535089970487,0.0277310507269732,0.05,0.100288316714537,0.697076763465338
"elk-115","Gaussian K=3",2,0.430369178705629,0.537825151062592,0.255419597652075,0.717879653995946,0.890721762792589
"elk-115","Gaussian K=3",3,1.48178660826029,3.40080116920987,0.627359445162186,0.181832029289517,0.522468107658691
"elk-163","Gaussian K=2",1,0.11284677657976,0.119460392256771,0.0934785339471635,0.645623218318595,0.768704198487389
"elk-163","Gaussian K=2",2,1.29064410662329,2.63512721136935,0.832238105141582,0.354376781681405,0.564869897799232
"elk-163","Gaussian K=3",1,0.065378530488489,0.0675630530747527,0.05,0.438708061918123,0.669065288364632
"elk-163","Gaussian K=3",2,0.286405900607425,0.331632856155526,0.160859624238187,0.314079508562301,0.620749741200077
"elk-163","Gaussian K=3",3,1.66478728468552,4.28454902568728,0.718886325323912,0.247212429519575,0.416352002856818
"elk-287","Gaussian K=2",1,0.206815963044354,0.229756230360976,0.161453036534398,0.741179787363138,0.870961812816233
"elk-287","Gaussian K=2",2,1.45337888907164,3.27754346940536,0.78327113569932,0.258820212636862,0.609845104656493
"elk-287","Gaussian K=3",1,0.105062866344208,0.110780438866159,0.0608687329515501,0.328797194692034,0.70827939175464
"elk-287","Gaussian K=3",2,0.297662251830153,0.34670686328051,0.186246380181214,0.436586083076124,0.999999952940869
"elk-287","Gaussian K=3",3,1.55520145656452,3.73604053551611,0.745030537175851,0.234616722231842,0.591174049790205
"elk-363","Gaussian K=2",1,0.153938170400161,0.166418765343337,0.0989830236124916,0.552624970515647,0.689574843831728
"elk-363","Gaussian K=2",2,0.904976576264854,1.47187402185694,0.618551437574327,0.447375029484353,0.609572097378796
"elk-363","Gaussian K=3",1,0.126615982941696,0.134981081987117,0.0864257304302138,0.400118581788034,0.804349958181914
"elk-363","Gaussian K=3",2,0.381409259946344,0.464346781277158,0.208525350293566,0.390815774538918,0.800500360907685
"elk-363","Gaussian K=3",3,1.38792489171977,3.00652744255077,0.578822182348276,0.209065643673047,0.361845317763033
