"ID","model","state","state_label","component","component_weight","mean_log1p_step","median_step_km","sd_log1p_step","posterior_state_occupation","self_transition"
"elk-115","Mixture K=2",1,"aggregate 1",1,0.201745639532586,0.0570350468453341,0.0586929135921202,0.05,0.835558025100769,0.900233783069389
"elk-115","Mixture K=2",1,"aggregate 1",2,0.798254360467413,0.461546448734836,0.586525569340637,0.238166300474379,0.835558025100769,0.900233783069389
"elk-115","Mixture K=2",2,"aggregate 2",1,0.695601960807389,1.28158848054555,2.60235745785367,0.220604977575235,0.164441974899231,0.464610453848196
"elk-115","Mixture K=2",2,"aggregate 2",2,0.304398039192611,2.34028922124846,9.38423947116256,0.22317581444191,0.164441974899231,0.464610453848196
"elk-163","Mixture K=2",1,"aggregate 1",1,0.766479668462562,0.0636973625089658,0.0657698080492175,0.05,0.618759033715208,0.763238680204395
"elk-163","Mixture K=2",1,"aggregate 1",2,0.233520331537438,0.237634214497102,0.268245202260467,0.05,0.618759033715208,0.763238680204395
"elk-163","Mixture K=2",2,"aggregate 2",1,0.445988764791708,0.46012342895987,0.584269517665756,0.209212080554863,0.381240966284792,0.603082519937445
"elk-163","Mixture K=2",2,"aggregate 2",2,0.554011235208292,1.83431528062897,5.26084575506378,0.631312051791763,0.381240966284792,0.603082519937445
"elk-287","Mixture K=2",1,"aggregate 1",1,0.565905549338444,0.1644992455106,0.178802680157144,0.0864988185181116,0.441793994767789,0.999999999998127
"elk-287","Mixture K=2",1,"aggregate 1",2,0.434094450661555,0.46754459112133,0.596070372532991,0.13460890494739,0.441793994767789,0.999999999998127
"elk-287","Mixture K=2",2,"aggregate 2",1,0.582424637509865,0.105107182388688,0.11082966535225,0.0608344981235016,0.558206005232211,0.989009487850699
"elk-287","Mixture K=2",2,"aggregate 2",2,0.417575362490135,1.56336795263497,3.77487574991993,0.740520825527324,0.558206005232211,0.989009487850699
"elk-363","Mixture K=2",1,"aggregate 1",1,0.752834976925635,0.344962754917232,0.411937330965575,0.171430950920704,0.49590863036465,0.891789254445719
"elk-363","Mixture K=2",1,"aggregate 1",2,0.247165023074365,0.927429431395433,1.52800241452131,0.346612224670515,0.49590863036465,0.891789254445719
"elk-363","Mixture K=2",2,"aggregate 2",1,0.763784463014439,0.118798512657122,0.126142991868588,0.082175298841813,0.50409136963535,0.901598312161781
"elk-363","Mixture K=2",2,"aggregate 2",2,0.236215536985561,1.69382343242866,4.44024138664614,0.508806225027316,0.50409136963535,0.901598312161781
