"T","rep","seed","logLik_gauss_K2","logLik_gauss_K3","logLik_mix_K2_M2","BIC_gauss_K2","BIC_gauss_K3","BIC_mix_K2_M2","delta_BIC_gauss_K3_minus_K2","delta_BIC_mix_K2_minus_gauss_K3","gaussian_BIC_favours_K3","enriched_BIC_favours_K2_mix","mix_state1_mean","mix_state2_mean","mix_state1_occ","mix_state2_occ"
500,67,26260677,-737.511773296302,-695.953144297835,-696.025625834345,1518.52580328156,1478.91080197358,1472.84115694818,-39.6150013079798,-6.06964502540063,TRUE,TRUE,-0.548280028132179,3.76356362666662,0.458307672912308,0.541692327087691
500,68,26260678,-702.698557608429,-657.227260179301,-661.341344264337,1448.89937190581,1401.45903373651,1403.47259380816,-47.4403381693019,2.01356007165077,TRUE,FALSE,-0.506647738661782,3.80050533105608,0.347969282508019,0.652030717491981
500,69,26260679,-737.960486306276,-688.701897705506,-690.365816631142,1519.42322930151,1464.40830878892,1461.52153854177,-55.0149205125847,-2.88677024714912,TRUE,TRUE,-0.524855802867223,3.83759113364489,0.477564591837652,0.522435408162348
500,70,26260680,-744.033084801895,-688.103474674583,-688.5133010318,1531.56842629275,1463.21146272708,1457.81650734309,-68.3569635656688,-5.3949553839891,TRUE,TRUE,-0.605096304581843,3.76206980919177,0.46318051854127,0.53681948145873
500,71,26260681,-747.166168559823,-673.858411194163,-670.702974096017,1537.8345938086,1434.72133576624,1422.19585347152,-103.113258042365,-12.5254822947131,TRUE,TRUE,-0.510906117978835,3.77233476568254,0.52812204415897,0.47187795584103
500,72,26260682,-758.569035532275,-699.159627052534,-697.769176231769,1560.6403277535,1485.32376748298,1476.32825774303,-75.3165602705269,-8.99550973995088,TRUE,TRUE,-0.491246113395867,3.76785807177686,0.469889778197276,0.530110221802724
500,73,26260683,-750.32812398303,-706.23629227767,-706.871004266367,1544.15850465501,1499.47709793325,1494.53191381222,-44.6814067217631,-4.94518412102866,TRUE,TRUE,-0.656568846250523,3.72681197847665,0.416530812184949,0.583469187815052
500,74,26260684,-738.257894864436,-693.184466775626,-694.735712596164,1520.01804641783,1473.37344692916,1470.26133047182,-46.6445994886653,-3.11211645734693,TRUE,TRUE,-0.507062980511276,3.78778332257185,0.355798475861108,0.644201524138892
500,75,26260685,-740.319344030462,-679.286054611109,-680.2684558472,1524.14094474988,1445.57662260013,1441.32681697389,-78.5643221497512,-4.24980562623932,TRUE,TRUE,-0.566975045074889,3.83634744278001,0.397664867747087,0.602335132252913
500,76,26260686,-686.036307636532,-649.34949606148,-650.080029902498,1415.57487196202,1385.70350550087,1380.94996508448,-29.8713664611487,-4.7535404163857,TRUE,TRUE,-0.464335364994477,3.82730766074031,0.334578202729089,0.665421797270911
