"K","state","mean","sd","posterior_occupation","logLik","BIC","ICL"
2,1,-0.395869566793419,1.21199917027471,0.439408706080085,-2218.09551368536,4487.38357008036,4498.2828528073
2,2,3.83265959241768,0.630658425867942,0.560591293919915,-2218.09551368536,4487.38357008036,4498.2828528073
3,1,-1.16904915072282,0.560625531901094,0.293210761077912,-2047.46396920881,4197.31302383688,4232.10584567545
3,2,1.14824349833315,0.410508820065598,0.145681136283793,-2047.46396920881,4197.31302383688,4232.10584567545
3,3,3.83189701519791,0.631087177148638,0.561108102638294,-2047.46396920881,4197.31302383688,4232.10584567545
