"Package","Version","Built"
"ssh","0.9.4","4.5.0"
"ssmmHMM","0.1.0","4.5.0"
"stabledist","0.7-2","4.5.0"
"StanHeaders","2.32.10","4.5.0"
"stars","0.7-0","4.5.2"
"statmod","1.5.1","4.5.0"
"statnet.common","4.12.0","4.5.0"
"stats","4.5.0","4.5.0"
"stats4","4.5.0","4.5.0"
"stopwords","2.3","4.5.0"
"streamy","0.1.0","4.5.0"
"stringdist","0.9.17","4.5.2"
"stringi","1.8.7","4.5.0"
"stringmagic","1.2.0","4.5.0"
"stringr","1.6.0","4.5.0"
"styler","1.11.0","4.5.0"
"suncalc","0.5.1","4.5.0"
"survey","4.4-2","4.5.0"
"survival","3.8-3","4.5.0"
"svglite","2.2.1","4.5.0"
"sys","3.4.3","4.5.0"
"sysfonts","0.8.9","4.5.0"
"systemfonts","1.3.1","4.5.0"
"taxonomyHMMSSF","0.0.0.9000","4.5.0"
"tcltk","4.5.0","4.5.0"
"tensorA","0.36.2.1","4.5.0"
"terra","1.8-93","4.5.2"
"testthat","3.3.2","4.5.2"
"text2vec","0.6.4","4.5.0"
"textdata","0.4.5","4.5.0"
"textshaping","1.0.1","4.5.0"
"thematic","0.1.8","4.5.0"
"threejs","0.3.4","4.5.0"
"tibble","3.3.1","4.5.2"
"tidygeocoder","1.0.6","4.5.0"
"tidygraph","1.3.1","4.5.0"
"tidymodels","1.3.0","4.5.0"
"tidyr","1.3.2","4.5.2"
"tidyselect","1.2.1","4.5.0"
"tidyterra","1.0.0","4.5.2"
"tidytext","0.4.2","4.5.0"
"tidyverse","2.0.0","4.5.0"
"timechange","0.3.0","4.5.0"
"timeDate","4041.110","4.5.0"
"tinytex","0.58","4.5.2"
"titanic","0.1.0","4.5.0"
"tmap","4.2","4.5.0"
"tmaptools","3.3","4.5.0"
"TMB","1.9.18","4.5.0"
"tmvnsim","1.0-2","4.5.0"
"toastui","0.4.0","4.5.0"
"tokenizers","0.3.0","4.5.0"
"tools","4.5.0","4.5.0"
"transformr","0.1.5","4.5.0"
"transport","0.15-4","4.5.0"
"treesitter","0.2.0","4.5.0"
"treesitter.r","1.1.0","4.5.0"
"triebeard","0.4.1","4.5.0"
"tropHMMcompare","0.2.0","4.5.0"
"tseries","0.10-58","4.5.0"
"TTR","0.24.4","4.5.0"
"tune","1.3.0","4.5.0"
"tutorizeR","0.2.0","4.5.0"
"tweedie","2.3.5","4.5.0"
"tweenr","2.0.3","4.5.0"
"twosamples","2.0.1","4.5.0"
"tzdb","0.5.0","4.5.0"
"ucminf","1.2.2","4.5.0"
"UlavalSSD","0.2.0","4.5.0"
"umap","0.2.10.0","4.5.0"
"units","1.0-0","4.5.0"
"urca","1.3-4","4.5.0"
"urlchecker","1.0.1","4.5.0"
"urltools","1.7.3.1","4.5.0"
"usdata","0.3.1","4.5.0"
"usethis","3.2.1","4.5.0"
"utf8","1.2.6","4.5.0"
"utils","4.5.0","4.5.0"
"uuid","1.2-1","4.5.0"
"uwot","0.2.4","4.5.0"
"V8","6.0.3","4.5.0"
"vcd","1.4-13","4.5.0"
"vctrs","0.7.3","4.5.2"
"vdiffr","1.0.8","4.5.0"
"VGAM","1.1-13","4.5.0"
"vip","0.4.5","4.5.2"
"viridis","0.6.5","4.5.0"
"viridisLite","0.4.2","4.5.0"
"vroom","1.6.5","4.5.0"
"waiter","0.2.5.1","4.5.0"
"waldo","0.6.2","4.5.0"
"warp","0.2.1","4.5.0"
"weathercan","0.7.6","4.5.1"
"webshot2","0.1.2","4.5.0"
"websocket","1.4.4","4.5.0"
"whisker","0.4.1","4.5.0"
"widgetframe","0.3.1","4.5.0"
"withr","3.0.2","4.5.0"
"wk","0.9.5","4.5.2"
"wordcloud2","0.2.1","4.5.0"
"workflows","1.2.0","4.5.0"
"workflowsets","1.1.0","4.5.0"
"writexl","1.5.4","4.5.0"
"xaringan","0.30","4.5.0"
"xaringanExtra","0.8.0","4.5.0"
"xaringanthemer","0.4.4","4.5.0"
"xfun","0.56","4.5.2"
"xgboost","3.2.1.1","4.5.2"
"XML","3.99-0.19","4.5.0"
"xml2","1.3.8","4.5.0"
"xmlparsedata","1.0.5","4.5.0"
"xopen","1.0.1","4.5.0"
"xtable","1.8-4","4.5.0"
"xts","0.14.1","4.5.0"
"yaml","2.3.12","4.5.2"
"yardstick","1.3.2","4.5.0"
"yesno","0.1.3","4.5.0"
"yulab.utils","0.2.3","4.5.2"
"zip","2.3.2","4.5.0"
"zoo","1.8-14","4.5.0"
