"Package","Version","Built"
"bigutilsr","0.3.11","4.5.0"
"billboarder","0.5.1","4.5.2"
"binb","0.0.7","4.5.0"
"BiocManager","1.30.27","4.5.2"
"bit","4.6.0","4.5.0"
"bit64","4.6.0-1","4.5.0"
"bitops","1.0-9","4.5.0"
"blavaan","0.5-8","4.5.0"
"blob","1.2.4","4.5.0"
"bookdown","0.43","4.5.0"
"boot","1.3-31","4.5.0"
"brew","1.0-10","4.5.0"
"bridgesampling","1.1-2","4.5.0"
"brio","1.1.5","4.5.0"
"brms","2.22.0","4.5.0"
"Brobdingnag","1.2-9","4.5.0"
"broom","1.0.8","4.5.0"
"broom.helpers","1.21.0","4.5.0"
"bs4Dash","2.3.5","4.5.0"
"bsicons","0.1.2","4.5.0"
"bslib","0.10.0","4.5.2"
"cachem","1.1.0","4.5.0"
"callr","3.7.6","4.5.0"
"cansim","0.4.4","4.5.0"
"car","3.1-3","4.5.0"
"carData","3.0-5","4.5.0"
"cards","0.6.1","4.5.0"
"cartogram","0.3.0","4.5.0"
"caTools","1.18.3","4.5.0"
"cellranger","1.1.0","4.5.0"
"checkmate","2.3.3","4.5.0"
"chemometrics","1.4.4","4.5.0"
"cherryblossom","0.1.0","4.5.0"
"chorddiag","0.1.3","4.5.0"
"chromote","0.5.1","4.5.0"
"circlize","0.4.17","4.5.2"
"CircStats","0.2-7","4.5.0"
"circular","0.5-2","4.5.0"
"CircularRegression","0.4.0","4.5.0"
"class","7.3-23","4.5.0"
"classInt","0.4-11","4.5.0"
"cli","3.6.5","4.5.0"
"clipr","0.8.0","4.5.0"
"clock","0.7.3","4.5.0"
"clue","0.3-66","4.5.0"
"cluster","2.1.8.1","4.5.0"
"coda","0.19-4.1","4.5.0"
"codetools","0.2-20","4.5.0"
"collections","0.3.9","4.5.0"
"colorspace","2.1-1","4.5.0"
"colourpicker","1.3.0","4.5.0"
"cols4all","0.10","4.5.0"
"combinat","0.0-8","4.5.0"
"commonmark","1.9.5","4.5.0"
"compiler","4.5.0","4.5.0"
"CompQuadForm","1.4.4","4.5.0"
"conflicted","1.2.0","4.5.0"
"contfrac","1.1-12","4.5.0"
"copula","1.1-6","4.5.0"
"coro","1.1.0","4.5.0"
"correlation","0.8.8","4.5.0"
"corrplot","0.95","4.5.0"
"countrycode","1.6.1","4.5.0"
"covr","3.6.4","4.5.0"
"cowplot","1.2.0","4.5.0"
"cowsay","1.2.2","4.5.0"
"cplm","0.7-12.1","4.5.0"
"cpp11","0.5.3","4.5.2"
"crawl","2.3.0","4.5.0"
"crayon","1.5.3","4.5.0"
"credentials","2.0.2","4.5.0"
