"ID","model","state","effective_n","mean_cos_turn","mean_abs_turn","mean_distance_open_forest_m","occupation","median_step_km","mean_posterior_certainty"
"elk-115","M21",1,99.7676692414456,-0.320247275261371,2.00385031099991,719.792796340413,0.516930928712154,0.55518938210308,0.942129916189459
"elk-115","M21",2,92.2323307585544,-0.143525636452455,1.78191880885055,864.056059919353,0.483069071287846,0.516515705504757,0.942129916189459
"elk-115","M22",1,161.240928644735,-0.271004310801595,1.93983700567279,641.626353359843,0.835445226138522,0.443444754168995,0.982627637288218
"elk-115","M22",2,30.7590713552653,-0.0484748531504262,1.67394129657575,1540.14518857192,0.164554773861478,3.15211522510673,0.982627637288218
"elk-115","G2",1,152.125837164646,-0.269460491125273,1.93709919705476,647.080392813973,0.788216772873815,0.443444754168995,0.938188061713727
"elk-115","G2",2,39.8741628353538,-0.105234194620288,1.74516925319324,1319.47322683017,0.211783227126185,3.15211522510673,0.938188061713727
"elk-115","G3",1,19.346504270694,-0.138964684872596,1.74229561923192,451.044390451052,0.100240954770435,0.0097082439194738,0.946558130471799
"elk-115","G3",2,138.601551790519,-0.291758193322425,1.97022857042148,671.143904559298,0.718142755391291,0.519832454446631,0.946558130471799
"elk-115","G3",3,34.0519439387868,-0.0605371898773689,1.6881835945291,1444.20780814907,0.181616289838274,3.22912486484028,0.946558130471799
"elk-115","G4",1,25.7828251617346,-0.106420742222976,1.71141291714509,479.459528299744,0.133589767677381,0.0262892432874035,0.893382728839441
"elk-115","G4",2,81.736241725633,-0.228722909152649,1.87706696378743,698.537535147139,0.423503843137995,0.355953999837058,0.893382728839441
"elk-115","G4",3,65.547945807624,-0.420322742355574,2.15193815471015,662.918809248505,0.339626662215671,1.0705765969794,0.893382728839441
"elk-115","G4",4,18.9329873050084,0.20081577460688,1.35559248683889,1979.60241459222,0.103279726968952,5.5184434399566,0.893382728839441
"elk-163","M21",1,111.744604880659,-0.231827528491865,1.86968991894559,17402.297924582,0.707244334687716,0.098488578017961,0.96768244003785
"elk-163","M21",2,45.255395119341,-0.261067634927303,1.92335606679686,10862.6704648335,0.292755665312284,4.38885238416605,0.96768244003785
"elk-163","M22",1,97.7462820807823,-0.231025939998339,1.86356635546954,17645.0237273874,0.61864735494166,0.0890413158578307,0.958196768830389
"elk-163","M22",2,59.2537179192177,-0.255482160037166,1.92077934244032,11988.2154722656,0.38135264505834,2.36552316453481,0.958196768830389
"elk-163","G2",1,101.986376243022,-0.223302665618551,1.85424291361246,17445.834386807,0.645483393943177,0.0914224221787999,0.961379865597692
"elk-163","G2",2,55.013623756978,-0.271684790979636,1.94247310517893,11922.6814042798,0.354516606056823,2.8043006105617,0.961379865597692
"elk-163","G3",1,69.332041395148,-0.276886383772415,1.91609216687013,16890.4077796691,0.438810388576886,0.0604750810488773,0.922556848835128
"elk-163","G3",2,49.5977808665022,-0.158148520070645,1.79975483320359,17932.2625049074,0.313910005484191,0.308506482914055,0.922556848835128
"elk-163","G3",3,38.0701777383498,-0.280515650659679,1.94009004230572,9895.60746483557,0.247279605938923,4.75113073383589,0.922556848835128
"elk-163","G4",1,74.8154113653317,-0.268194959498235,1.90318291932164,17137.9372687698,0.473515261805897,0.0622113333726259,0.935598138129424
"elk-163","G4",2,21.625695900094,-0.160692214568614,1.80578335563598,19919.4478842782,0.136871493038569,0.288062359347607,0.935598138129424
"elk-163","G4",3,28.1322495118235,-0.185909198534906,1.84906822624311,14336.6268210179,0.178052212100149,0.549172010426546,0.935598138129424
"elk-163","G4",4,32.4266432227509,-0.27600616367658,1.9278226285269,9896.13900951452,0.211561033055385,4.81867266474908,0.935598138129424
"elk-287","M21",1,130.08029388207,-0.179687931346916,1.8063407846457,26750.0962702764,0.80417358209833,0.187288728680128,0.983723901313039
"elk-287","M21",2,31.9197061179302,0.54110998421617,0.836807825969144,8246.38198568607,0.19582641790167,5.0275737935907,0.983723901313039
"elk-287","M22",1,72.012057679071,-0.319876849790973,1.99542721990943,39916.2997398628,0.441791764902276,0.293772090923332,0.994535835657956
"elk-287","M22",2,89.987942320929,0.188171909231431,1.31112210038893,9838.42109145054,0.558208235097724,0.199007537545692,0.994535835657956
"elk-287","G2",1,120.78265578698,-0.167737638244813,1.79099224520107,27154.5789863997,0.740997888263826,0.180844972731554,0.957345971716107
"elk-287","G2",2,41.2173442130203,0.34349642001344,1.1004881803229,11602.5868603523,0.259002111736174,4.45676586775657,0.957345971716107
"elk-287","G3",1,53.5938820338897,-0.035072430510577,1.61065595858825,11950.8731923021,0.328796822293802,0.106805382200555,0.986319722638955
"elk-287","G3",2,71.1635425728408,-0.320683676979935,1.99690432462906,39911.242047816,0.436586150753624,0.293772090923332,0.986319722638955
"elk-287","G3",3,37.2425753932695,0.499397981025598,0.892846648962392,7554.76079615526,0.234617026952574,4.45676586775657,0.986319722638955
"elk-287","G4",1,69.2295238868882,-0.116064096699664,1.71447201087373,18020.2808579107,0.424721005441032,0.111242776628097,0.988075016627781
"elk-287","G4",2,47.6913826891819,-0.232495268537563,1.88451001616798,39861.7664230118,0.292585169872281,0.322442242890103,0.988075016627781
"elk-287","G4",3,10.433418994489,-0.572725492716663,2.34571771207603,30340.0177351726,0.0701436748127875,0.878046067160142,0.988075016627781
"elk-287","G4",4,34.6456744294409,0.548316090949402,0.826630606732598,7912.79772152125,0.212550149873899,4.78334145614917,0.988075016627781
"elk-363","M21",1,67.8873802520885,-0.278808382115767,1.96438650575523,2047.22227073783,0.317453365216965,0.612906616171012,0.931892171150219
"elk-363","M21",2,148.112619747912,-0.0414130239748678,1.64059582995222,14722.811092576,0.682546634783035,0.193126901285139,0.931892171150219
"elk-363","M22",1,106.513105870013,-0.188944005568298,1.84353184591086,2737.88090724346,0.495452100783471,0.546053325142932,0.907675635197336
"elk-363","M22",2,109.486894129987,-0.0450862114355193,1.64393828824905,18516.4063358411,0.504547899216529,0.162246725698857,0.907675635197336
"elk-363","G2",1,119.886596056717,-0.173878058367111,1.81686209965361,14745.8237086143,0.552472792909336,0.15926657343902,0.926604262045197
"elk-363","G2",2,96.113403943283,-0.0438618694918666,1.64943265833784,5702.97473872472,0.447527207090664,1.21011290795529,0.926604262045197
"elk-363","G3",1,86.9135120365325,-0.120815536657222,1.74796054272919,19633.4903141512,0.400523096942549,0.137767920794356,0.902066202494388
"elk-363","G3",2,83.7004407407133,-0.263436384927912,1.94183448569045,3103.24073664248,0.390324611708322,0.512241261936652,0.902066202494388
"elk-363","G3",3,45.3860472227543,0.165004058660257,1.36377172765299,7764.51060860399,0.209152291349129,2.87335453223558,0.902066202494388
"elk-363","G4",1,10.8932908825278,0.0756780621160876,1.44045893227993,41241.7438954498,0.0501994971545059,0.00860232526704263,0.897938843448111
"elk-363","G4",2,82.9584994778934,-0.164879753353382,1.81149105652994,15632.2193447432,0.382297232617026,0.150901457912109,0.897938843448111
"elk-363","G4",3,77.5244199911147,-0.258993561527509,1.93721589618664,2860.10606643325,0.361863686594945,0.522617912061617,0.897938843448111
"elk-363","G4",4,44.623789648464,0.176380297651073,1.34902355232008,7865.534498082,0.205639583633524,2.85004719259173,0.897938843448111
