"ID","floor","fraction","n_train","model","log_likelihood","n_parameters","BIC","converged","relative_gain","iterations","n_modes","modes","floor_hits","min_transition","max_self","refined_within_001","refined_total"
"elk-163",0.05,1,158,"G4",-5.96578191173499,23,128.37124958309,TRUE,3.67450698100845e-09,17,4,"0.06435;0.24163;0.44935;1.83242",2,4.54540342366414e-12,0.637205148597173,17,21
"elk-287",0.05,1,163,"M21",-26.7739298868657,10,104.485361781799,TRUE,3.39636484845491e-09,13,3,"0.12058;0.43393;1.75254",0,0.109884352440069,0.890115647559931,20,20
"elk-287",0.05,1,163,"M22",-4.49686523848825,13,75.2124830874644,TRUE,9.05730482045253e-09,152,3,"0.11697;0.46561;1.56336",0,1.87097792111645e-12,0.999999999998129,20,20
"elk-287",0.05,1,163,"G2",-56.6871120603519,7,149.030475526351,TRUE,2.39345166393854e-10,2,2,"0.20778;1.45251",0,0.129214568279829,0.870785431720171,20,20
"elk-287",0.05,1,163,"G3",-6.31605165772162,14,83.9446061267379,TRUE,2.52340195794233e-09,6,2,"0.11043;1.5552",0,1.480060791495e-12,0.999999999444107,21,21
"elk-287",0.05,1,163,"G4",1.3486778488538,23,114.458898920848,TRUE,7.82394942027738e-09,62,3,"0.12192;0.58813;1.65782",0,1.48777761608294e-12,0.999999999991719,20,21
"elk-363",0.05,1,217,"M21",-51.8091900665481,10,157.417353668501,TRUE,7.05955956604439e-10,2,2,"0.14398;1.3581",0,0.0603434868089836,0.939656513191016,0,20
"elk-363",0.05,1,217,"M22",-43.956822395822,13,157.85231038767,TRUE,1.1817195645345e-09,2,2,"0.12962;1.00329",0,0.0979802580301579,0.902019741969842,4,20
"elk-363",0.05,1,217,"G2",-79.9891314345806,7,197.637544343944,TRUE,4.08229998078061e-10,2,2,"0.15503;0.9047",0,0.310428494016392,0.689571505983608,19,20
"elk-363",0.05,1,217,"G3",-45.2567764213623,14,165.832115792291,TRUE,8.67198428052635e-10,2,2,"0.13543;1.38703",0,9.02294798114332e-10,0.804125403639513,20,21
"elk-363",0.05,1,217,"G4",-29.3412402672053,23,182.420119665841,TRUE,9.04944793829508e-09,17,2,"0.15127;1.39645",1,1.56731282030931e-12,0.999999999964513,19,21
"elk-115",0.1,1,193,"M21",-89.0799309107604,10,230.78676371057,TRUE,5.71507642127866e-09,19,2,"0.12367;0.46877",1,0.0356428471560485,0.964357152843951,0,20
"elk-115",0.1,1,193,"M22",-84.5604593195526,13,237.535891094869,TRUE,3.77753697711189e-09,17,4,"0.12627;0.51482;1.27831;2.33823",1,0.0974127609340903,0.90258723906591,20,20
"elk-115",0.1,1,193,"G2",-104.47951418043,7,245.797859683195,TRUE,2.91132013238952e-10,2,1,"0.37753",0,0.11169993979709,0.88830006020291,20,20
"elk-115",0.1,1,193,"G3",-81.2523931391991,14,236.182448923067,TRUE,2.26124799117985e-09,7,2,"0.12515;0.46696",1,9.42446840281715e-10,0.969787986256637,21,21
"elk-115",0.1,1,193,"G4",-66.404997977083,23,253.851870298978,TRUE,4.60829473481203e-09,18,1,"0.33178",1,2.26594511014903e-12,0.716085792911694,20,21
"elk-163",0.1,1,158,"M21",-38.7672052923428,10,128.160360914955,TRUE,5.35142584409713e-09,23,2,"0.10821;1.80413",1,0.162302629605583,0.837697370394417,20,20
"elk-163",0.1,1,158,"M22",-32.2196571958563,13,130.253049821063,TRUE,5.97019863323906e-09,29,2,"0.10747;1.96605",1,0.0767527444111255,0.923247255588874,4,20
"elk-163",0.1,1,158,"G2",-46.6274538125833,7,128.693072856355,TRUE,4.8236734671271e-10,5,2,"0.11675;1.3178",1,0.225510010446908,0.774489989553092,20,20
"elk-163",0.1,1,158,"G3",-32.2628784130833,14,135.402087288544,TRUE,3.04523669284627e-09,13,2,"0.10839;1.85747",1,0.0298954860106788,0.842143068269195,21,21
"elk-163",0.1,1,158,"G4",-23.4745958071154,23,163.388877373851,TRUE,6.33155633071926e-09,37,2,"0.11405;1.99677",1,1.36890452656663e-11,0.853847185812627,20,21
"elk-287",0.1,1,163,"M21",-31.2377347226846,10,113.412971453437,TRUE,3.5492288392547e-09,13,3,"0.14171;0.52234;1.72936",1,0.109511131084111,0.890488868915889,20,20
"elk-287",0.1,1,163,"M22",-12.9894066701696,13,92.197565950827,TRUE,6.02876800664429e-09,26,3,"0.14244;0.49732;1.59518",2,1.7196265674577e-12,0.99999999999828,20,20
"elk-287",0.1,1,163,"G2",-56.6871120603519,7,149.030475526351,TRUE,2.39345166393854e-10,2,2,"0.20778;1.45251",0,0.129214568279829,0.870785431720171,20,20
"elk-287",0.1,1,163,"G3",-15.3704799518539,14,102.053462715002,TRUE,8.70405716586701e-10,7,2,"0.13145;1.57315",1,1.48443994373541e-12,0.999999999877973,21,21
"elk-287",0.1,1,163,"G4",-6.70952509995962,23,130.575304818475,TRUE,3.61383696206806e-09,19,2,"0.13558;1.69497",2,1.54264937913728e-12,0.999999999992199,20,21
"elk-363",0.1,1,217,"M21",-52.2507148915342,10,158.300403318473,TRUE,5.55492128063175e-09,25,2,"0.14748;1.369",1,0.0567422533829461,0.943257746617054,4,20
