"ID","model","n","log_likelihood","BIC","converged"
"elk-163","M21",158,-29.2301613019509,109.086272934171,TRUE
"elk-163","M22",158,-23.0830706979398,111.97987682523,TRUE
"elk-163","G2",158,-49.8237235514985,135.085612334186,TRUE
"elk-163","G3",158,-22.5851038360919,116.046538134561,TRUE
"elk-163","G4",158,-11.6894313896816,139.818548538983,TRUE
