"ID","floor","fraction","n_train","model","state","component","mean","sd","weight","occupation","self_transition"
"elk-287",0.1,1,163,"M22",2,1,0.109271528156926,0.1,0.593419832925531,0.559047335336988,0.989026028088382
"elk-287",0.1,1,163,"M22",2,2,1.5951840967069,0.72218582743417,0.406580167074468,0.559047335336988,0.989026028088382
"elk-287",0.1,1,163,"G2",1,1,0.206709365287575,0.161332393708781,1,0.740997888263826,0.870785431720171
"elk-287",0.1,1,163,"G2",2,1,1.45250998088547,0.783437350267122,1,0.259002111736174,0.60983430966396
"elk-287",0.1,1,163,"G3",1,1,0.108179279786542,0.1,1,0.33577496234717,0.703672889778371
"elk-287",0.1,1,163,"G3",2,1,0.298418036540005,0.1864651589381,1,0.432933578503953,0.999999999877973
"elk-287",0.1,1,163,"G3",3,1,1.57314812709133,0.735108565948169,1,0.231291459148877,0.569810272621816
"elk-287",0.1,1,163,"G4",1,1,0.11837292653357,0.1,1,0.42894356932718,0.712293540998165
"elk-287",0.1,1,163,"G4",2,1,0.286508574585923,0.156400928133131,1,0.290831578620391,0.999999999992199
"elk-287",0.1,1,163,"G4",3,1,0.618131112295723,0.1,1,0.0740135467723503,0.304784373471504
"elk-287",0.1,1,163,"G4",4,1,1.694973169566,0.68220949090276,1,0.206211305280078,0.598861748631634
"elk-363",0.1,1,217,"M21",1,1,0.459954571155866,0.238852904697575,1,0.31423423286489,0.862536420876368
"elk-363",0.1,1,217,"M21",2,1,0.140918976557679,0.1,0.708676559764136,0.68576576713511,0.943257746617054
"elk-363",0.1,1,217,"M21",2,2,1.3859050359428,0.608025906255232,0.291323440235863,0.68576576713511,0.943257746617054
"elk-363",0.1,1,217,"M22",1,1,0.126257769509871,0.1,0.756401297431576,0.547649476156593,0.921607749613911
"elk-363",0.1,1,217,"M22",1,2,1.61702323274788,0.544815122369224,0.243598702568424,0.547649476156593,0.921607749613911
"elk-363",0.1,1,217,"M22",2,1,0.356216777284473,0.173709873809975,0.762437858033156,0.452350523843407,0.895836121921856
"elk-363",0.1,1,217,"M22",2,2,0.921403598143449,0.339271236065087,0.237562141966844,0.452350523843407,0.895836121921856
"elk-363",0.1,1,217,"G2",1,1,0.154467317716956,0.1,1,0.55412810907551,0.690324452910584
"elk-363",0.1,1,217,"G2",2,1,0.906754886964065,0.618729427985171,1,0.44587189092449,0.608220265421837
"elk-363",0.1,1,217,"G3",1,1,0.131358599953324,0.1,1,0.417492863720045,0.807924485459936
"elk-363",0.1,1,217,"G3",2,1,0.389784448123133,0.21158944714367,1,0.375945415259301,0.806867629666514
"elk-363",0.1,1,217,"G3",3,1,1.39675170389837,0.575601406664371,1,0.206561721020655,0.362269356142942
"elk-363",0.1,1,217,"G4",1,1,0.123964006598984,0.1,1,0.412085095250118,0.769917051905649
"elk-363",0.1,1,217,"G4",2,1,0.367559792917796,0.178016919297168,1,0.36500769296896,0.616929239150716
"elk-363",0.1,1,217,"G4",3,1,0.993349752108105,0.338639329265259,1,0.109428596770832,1.28621972509422e-08
"elk-363",0.1,1,217,"G4",4,1,1.72670875839936,0.486566894585363,1,0.11347861501009,0.463812616700296
"elk-115",0.05,0.6,115,"M21",1,1,0.0669979478525017,0.05,0.240011218181271,0.790126088835578,0.830586645898847
"elk-115",0.05,0.6,115,"M21",1,2,0.422158655995282,0.20020304334237,0.759988781818729,0.790126088835578,0.830586645898847
"elk-115",0.05,0.6,115,"M21",2,1,1.3399329983186,0.656043901158285,1,0.209873911164423,0.334481029146242
"elk-115",0.05,0.6,115,"M22",1,1,0.067239364592864,0.05,0.231320748596573,0.83215633824436,0.863248851209503
"elk-115",0.05,0.6,115,"M22",1,2,0.431315698358958,0.204029027988871,0.768679251403427,0.83215633824436,0.863248851209503
"elk-115",0.05,0.6,115,"M22",2,1,1.15285767617391,0.15637668780933,0.623412260582219,0.16784366175564,0.284840170670382
"elk-115",0.05,0.6,115,"M22",2,2,2.18252779103844,0.394878841563174,0.376587739417781,0.16784366175564,0.284840170670382
"elk-115",0.05,0.6,115,"G2",1,1,0.336245918631557,0.231232191618035,1,0.777844452132634,0.825998072308342
"elk-115",0.05,0.6,115,"G2",2,1,1.28680997353173,0.677836385461438,1,0.222155547867366,0.365749823674453
"elk-115",0.05,0.6,115,"G3",1,1,0.0686555240945167,0.05,1,0.185818369747302,0.419951348500917
"elk-115",0.05,0.6,115,"G3",2,1,0.422510145320665,0.205494753722981,1,0.60304058006741,0.776102902429335
"elk-115",0.05,0.6,115,"G3",3,1,1.32552268475217,0.667453347199508,1,0.211141050185288,0.361409290622376
"elk-115",0.05,0.6,115,"G4",1,1,0.0846975412859492,0.061189844665735,1,0.21669800744621,0.481833848518288
"elk-115",0.05,0.6,115,"G4",2,1,0.438922574661298,0.213461901925411,1,0.471345762060579,0.926176469559325
"elk-115",0.05,0.6,115,"G4",3,1,0.777413464643295,0.418632279602626,1,0.259988254417876,0.665529375179449
"elk-115",0.05,0.6,115,"G4",4,1,2.31040366360517,0.301765947196284,1,0.051967976075335,0.162071546407731
"elk-163",0.05,0.6,94,"M21",1,1,0.0866202198591772,0.058288011745525,0.720120792261084,0.681326946779943,0.778280218659014
"elk-163",0.05,0.6,94,"M21",1,2,0.337687919558756,0.162591167835179,0.279879207738916,0.681326946779943,0.778280218659014
"elk-163",0.05,0.6,94,"M21",2,1,1.78342750770073,0.708319293520433,1,0.318673053220057,0.509591312782494
"elk-163",0.05,0.6,94,"M22",1,1,0.0883291726266654,0.0641803889235159,0.79873323171415,0.58816371575384,0.941330515624026
"elk-163",0.05,0.6,94,"M22",1,2,2.13051904556935,0.41736737313498,0.20126676828585,0.58816371575384,0.941330515624026
"elk-163",0.05,0.6,94,"M22",2,1,0.347097167124904,0.203517294674711,0.570564091530992,0.41183628424616,0.899839892390185
"elk-163",0.05,0.6,94,"M22",2,2,1.69607854474014,0.733850339636692,0.429435908469008,0.41183628424616,0.899839892390185
"elk-163",0.05,0.6,94,"G2",1,1,0.104930397954867,0.0765183280298079,1,0.566042914136322,0.721881135042326
"elk-163",0.05,0.6,94,"G2",2,1,1.41910927671042,0.86156439386073,1,0.433957085863678,0.628108351500598
"elk-163",0.05,0.6,94,"G3",1,1,0.085542044266711,0.057012083349231,1,0.429592705906452,0.774437664767608
"elk-163",0.05,0.6,94,"G3",2,1,0.362095722150586,0.261467014450269,1,0.308578243196293,0.74098608358724
"elk-163",0.05,0.6,94,"G3",3,1,2.01176526224224,0.552150503757131,1,0.261829050897254,0.437817991290698
"elk-163",0.05,0.6,94,"G4",1,1,0.0840706271778757,0.0504982617730452,1,0.404259780776187,0.74950754678372
"elk-163",0.05,0.6,94,"G4",2,1,0.256112589906428,0.169799153692088,1,0.281455934901855,0.657451549159138
"elk-163",0.05,0.6,94,"G4",3,1,0.825207842602374,0.162198679731727,1,0.0676606346567259,0.0559241195485637
"elk-163",0.05,0.6,94,"G4",4,1,2.08138599856403,0.488540006718616,1,0.246623649665231,0.414220482855265
"elk-287",0.05,0.6,97,"M21",1,1,0.107497583950497,0.0640372887086687,0.954085834984801,0.630177818536691,0.763985741136115
"elk-287",0.05,0.6,97,"M21",1,2,0.525114107563187,0.05,0.0459141650151992,0.630177818536691,0.763985741136115
"elk-287",0.05,0.6,97,"M21",2,1,1.62745869735701,0.711377824462983,1,0.369822181463309,0.576692887546994
"elk-287",0.05,0.6,97,"M22",1,1,0.0800005042696615,0.05,0.728520725108238,0.602516026012516,0.724707390041757
"elk-287",0.05,0.6,97,"M22",1,2,0.180670968612307,0.05,0.271479274891762,0.602516026012516,0.724707390041757
"elk-287",0.05,0.6,97,"M22",2,1,0.68134407385548,0.2445761034281,0.306510416042736,0.397483973987484,0.564036574551249
"elk-287",0.05,0.6,97,"M22",2,2,1.93729203319078,0.526053525038327,0.693489583957264,0.397483973987484,0.564036574551249
"elk-287",0.05,0.6,97,"G2",1,1,0.107019967095646,0.0637395369177913,1,0.595849227254433,0.724386581113726
"elk-287",0.05,0.6,97,"G2",2,1,1.52895505812095,0.754471771739869,1,0.404150772745567,0.575405924255836
"elk-287",0.05,0.6,97,"G3",1,1,0.10768108210302,0.0641215750408285,1,0.603319328632077,0.724732818080162
"elk-287",0.05,0.6,97,"G3",2,1,0.603526079237855,0.0927175122416646,1,0.0469602035755206,2.1954492626116e-11
