"T","rep","seed","logLik_gauss_K2_old","logLik_gauss_K3_old","logLik_mix_K2_M2_old","BIC_gauss_K2_old","BIC_gauss_K3_old","BIC_mix_K2_M2_old","delta_BIC_gauss_K3_minus_K2_old","delta_BIC_mix_K2_minus_gauss_K3_old","gaussian_BIC_favours_K3_old","enriched_BIC_favours_K2_mix_old","mix_state1_mean_old","mix_state2_mean_old","mix_state1_occ_old","mix_state2_occ_old","logLik_gauss_K2_new","logLik_gauss_K3_new","logLik_mix_K2_M2_new","BIC_gauss_K2_new","BIC_gauss_K3_new","BIC_mix_K2_M2_new","delta_BIC_gauss_K3_minus_K2_new","delta_BIC_mix_K2_minus_gauss_K3_new","gaussian_BIC_favours_K3_new","enriched_BIC_favours_K2_mix_new","mix_state1_mean_new","mix_state2_mean_new","mix_state1_occ_new","mix_state2_occ_new"
1500,1,36260611,-2176.25911592314,-2032.73617289654,-2033.34147932509,4403.71077455591,4167.85743121233,4161.75482368236,-235.853343343572,-6.10260752997146,TRUE,TRUE,-0.530029216951637,3.84119441156544,0.382258605130905,0.617741394869095,-2176.25911592314,-2032.7357342973,-2033.32187628178,4403.7107745559,4167.85655401386,4161.71561759574,-235.85422054205,-6.1409364181136,TRUE,TRUE,-0.530199253602109,3.8411066617147,0.38223504949073,0.61776495050927
1500,10,36260620,-2229.51159703288,-2073.0509434394,-2075.44052912408,4510.21573677539,4248.48697229806,4245.95292328033,-261.72876447733,-2.53404901773592,TRUE,TRUE,-0.536623165919207,3.75471636917766,0.451390677341745,0.548609322658255,-2229.51159703288,-2073.0507718233,-2075.43463348263,4510.21573677539,4248.48662906586,4245.94113199744,-261.72910770953,-2.54549706842408,TRUE,TRUE,-0.536609604195207,3.75472351271816,0.451393869389884,0.548606130610117
1500,100,36260710,-2177.50864334321,-2038.72819046364,-2041.20345547508,4406.20982939605,4179.84146634655,4177.47877598233,-226.3683630495,-2.36269036422254,TRUE,TRUE,-0.539515542341529,3.8252789455665,0.421544348000328,0.578455651999672,-2177.50864334321,-2038.72807300441,-2041.20164897096,4406.20982939605,4179.84123142809,4177.47516297409,-226.36859796796,-2.36606845400092,TRUE,TRUE,-0.539531902066918,3.8252726148673,0.421542890556308,0.578457109443692
1500,101,36260711,-2215.33365391591,-2066.23980023679,-2066.69363403875,4481.85985054145,4234.86468589284,4228.45913310967,-246.995164648603,-6.40555278317152,TRUE,TRUE,-0.4978061959568,3.77526507551699,0.404473932680792,0.595526067319209,-2215.33365391591,-2066.23971978986,-2066.69138550651,4481.85985054145,4234.86452499899,4228.45463604519,-246.995325542461,-6.40988895379633,TRUE,TRUE,-0.49779073763756,3.77528359984762,0.404479385676446,0.595520614323554
1500,102,36260712,-2127.0622085097,-1984.38795610568,-1988.13425325194,4305.31695972902,4071.16099763062,4071.34037153605,-234.155962098405,0.179373905435568,TRUE,FALSE,-0.505126163034479,3.79654533071001,0.410539154729993,0.589460845270007,-2127.0622085097,-1984.38783409021,-1988.13232816449,4305.31695972902,4071.16075359968,4071.33652136115,-234.156206129344,0.175767761467341,TRUE,FALSE,-0.505163963256043,3.79652798539162,0.410534514844669,0.589465485155331
1500,103,36260713,-2198.20443507738,-2052.99896474694,-2052.61757081835,4447.60141286439,4208.38301491314,4200.30700666888,-239.218397951246,-8.0760082442639,TRUE,TRUE,-0.492497644466486,3.87319246925889,0.420768797612666,0.579231202387334,-2198.20443507738,-2052.99873881815,-2051.54905373973,4447.60141286439,4208.38256305556,4198.16997251163,-239.218849808834,-10.2125905439279,TRUE,TRUE,-0.492855374490884,3.87299646017785,0.420711117195053,0.579288882804947
1500,104,36260714,-2206.63925349563,-2044.30818366506,-2045.63949747806,4464.47104970088,4191.00145274939,4186.35085998829,-273.469596951491,-4.65059276110333,TRUE,TRUE,-0.508309701862688,3.78779302516166,0.447163814404392,0.552836185595608,-2206.63925349563,-2044.30796915898,-2044.73341831227,4464.47104970088,4191.00102373722,4184.53870165671,-273.470025963663,-6.46232208051515,TRUE,TRUE,-0.509997355318564,3.78572074000743,0.446729570124098,0.553270429875902
1500,105,36260715,-2193.44426439462,-2039.85980598786,-2037.33398052493,4438.08107149887,4182.10469739498,4169.73982608203,-255.976374103892,-12.3648713129505,TRUE,TRUE,-0.42962709914777,3.8218597727861,0.424933488523437,0.575066511476563,-2193.44426439462,-2039.85835672975,-2036.98753662702,4438.08107149887,4182.10179887877,4169.04693828622,-255.979272620105,-13.0548605925442,TRUE,TRUE,-0.429732153294716,3.82204392048901,0.42494718598238,0.575052814017621
1500,106,36260716,-2211.86645642191,-2049.501596814,-2049.48461078831,4474.92545555346,4201.38827904726,4194.0410866088,-273.537176506199,-7.34719243845666,TRUE,TRUE,-0.575061789663762,3.80897096939484,0.444082900365628,0.555917099634373,-2211.86645641997,-2049.50157968852,-2049.4752926001,4474.92545554958,4201.38824479631,4194.02245023238,-273.537210753271,-7.36579456393247,TRUE,TRUE,-0.575034895751379,3.80898889246911,0.444088411225603,0.555911588774398
1500,107,36260717,-2126.5210394652,-2013.14519584405,-2013.52472691511,4304.23462164004,4128.67547710736,4122.12131886239,-175.559144532675,-6.55415824496777,TRUE,TRUE,-0.516301588523873,3.76245603570628,0.387591096254771,0.612408903745229,-2126.5210394652,-2013.14407032226,-2013.52394536374,4304.23462164004,4128.67322606378,4122.11975575965,-175.561395576252,-6.55347030413304,TRUE,TRUE,-0.516322975359358,3.76245033202281,0.387589058084494,0.612410941915505
1500,108,36260718,-2095.03782402902,-2092.84982161542,-1948.89637157892,4241.26819076768,4288.08472865011,3992.86460819001,46.8165378824351,-295.220120460103,FALSE,TRUE,-0.618295491489065,3.81551183077564,0.384603402622511,0.61539659737749,-2095.03782402902,-1948.76298101631,-1948.39585173038,4241.26819076768,3999.91104745188,3991.86356849294,-241.357143315804,-8.04747895893297,TRUE,TRUE,-0.619896955411929,3.81367256342159,0.384209877869944,0.615790122130057
1500,109,36260719,-2227.98730742074,-2056.27580555477,-2054.34153828535,4507.16715755111,4214.93669652881,4203.75494160288,-292.230461022305,-11.1817549259285,TRUE,TRUE,-0.578896305191967,3.77110593786079,0.532138972530415,0.467861027469585,-2227.98730742074,-2056.27561575831,-2053.64722286893,4507.16715755111,4214.93631693589,4202.36631077004,-292.230840615225,-12.5700061658463,TRUE,TRUE,-0.578434607345511,3.77150243250398,0.532237707484343,0.467762292515658
1500,11,36260621,-2261.09834897923,-2062.7860039858,-2061.31151933166,4573.3892406681,4227.95709339087,4217.69490369549,-345.432147277231,-10.2621896953779,TRUE,TRUE,-0.526335825721009,3.8279550944119,0.449773496283914,0.550226503716086,-2261.09834897923,-2062.78598687441,-2061.3036048277,4573.3892406681,4227.95705916809,4217.67907468757,-345.432181500009,-10.2779844805127,TRUE,TRUE,-0.526340076067346,3.82795178476059,0.449773053637293,0.550226946362707
